Bat.ID,Species,cue,visits_counts,Test
K-C091,AJ,odor,7,SoundVSmell
L-C07F,AJ,odor,5,SoundVSmell
Lireal,L,odor,5,SoundVSmell
Mozart,L,odor,3,SoundVSmell
Shostakovich,L,odor,26,SoundVSmell
Whitey,L,odor,11,SoundVSmell
A-C095,AJ,neither,4,SoundVSmell
A-Head,L,neither,5,SoundVSmell
B-Butt,L,neither,2,SoundVSmell
B-C09E,AJ,neither,0,SoundVSmell
Bartameus,L,neither,7,SoundVSmell
Beethoven,L,neither,0,SoundVSmell
C-C09A,AJ,neither,2,SoundVSmell
C-Newbie,L,neither,5,SoundVSmell
D-C0B6,AJ,neither,7,SoundVSmell
E-C07C,AJ,neither,1,SoundVSmell
F-C0C0,AJ,neither,3,SoundVSmell
G-C09B,AJ,neither,1,SoundVSmell
H-C055,AJ,neither,5,SoundVSmell
Handel,L,neither,16,SoundVSmell
I-C0BF,AJ,neither,0,SoundVSmell
J-C090,AJ,neither,1,SoundVSmell
K-C091,AJ,neither,5,SoundVSmell
L-C07F,AJ,neither,5,SoundVSmell
Lireal,L,neither,5,SoundVSmell
Mozart,L,neither,11,SoundVSmell
Shostakovich,L,neither,10,SoundVSmell
Whitey,L,neither,1,SoundVSmell
